INCIDENT_NO,INCIDENT_DATE,CASE_NO,CFS_NO,DISTRICT,INCIDENT_TYPE,INCIDENT_DESCRIPTION,INCIDENT_LOCATION_X,LATITUDE_X,LONGITUDE_X,SUBJECT_GENDER,SUBJECT_RACE,SUSPECT_AGE,OFFICER_GENDER,OFFICER_RACE,SNA_NEIGHBORHOOD,CPD_NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,
-4154,09/07/2000 10:25:00 PM,20000850,P002511231,DISTRICT 5,9825,CHEMICAL IRRITANT,32XX CENTRAL PKWY,39.1423842725087,-84.531186028542,FEMALE,WHITE,UNKNOWN,MALE,WHITE,CLIFTON,CLIFTON,CLIFTON,
-4126,08/29/2000 01:31:00 AM,20000822,P002411544,DISTRICT 4,9826,INJURY TO PRISONER,6XX MAPLE AV,39.1411887261043,-84.4955896573797,MALE,BLACK,UNKNOWN,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE,
-49,08/12/1996 02:40:00 PM,9600202,P962250563,DISTRICT 1,9826,INJURY TO PRISONER,8XX CLARK ST,39.1081725373598,-84.5294022541475,MALE,BLACK,UNKNOWN,MALE,WHITE,WEST END,WEST  END,WEST END,
-5137,06/17/2001 06:32:00 AM,20010557,P011680349,DISTRICT 1,9826,INJURY TO PRISONER,5XX E 12TH STREET,,,MALE,BLACK,UNKNOWN,MALE,TWO OR MORE,N/A,N/A,N/A,
-515,03/07/1997 03:05:00 AM,9700156,P970660161,DISTRICT 5,9826,INJURY TO PRISONER,4XX BURNET WOODS,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-515,03/07/1997 03:05:00 AM,9700156,P970660161,DISTRICT 5,9826,INJURY TO PRISONER,4XX BURNET WOODS,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
6417,04/27/2012 10:00:00 AM,2012-168604,LCP120427000443,DISTRICT 4,9826,INJURY TO PRISONER,9XX CURTIS AV,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A,
-3704,05/03/2000 02:10:00 AM,20000396,P00120082,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-3704,05/03/2000 02:10:00 AM,20000396,P00120082,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-4241,10/01/2000 02:35:00 AM,20000937,P002750132,DISTRICT 4,9825,CHEMICAL IRRITANT,31XX READING RD,39.1366124187345,-84.496430298048,OTHER,UNKNOWN,UNKNOWN,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE,
-2668,06/02/1999 07:25:00 PM,9900436,P991531327,DISTRICT 1,9826,INJURY TO PRISONER,XX E MCMICKEN,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
2306,06/05/2006 02:13:00 AM,2006-83621,P061560152,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,22XX VICTOR ST,39.1239869123794,-84.5251509199411,MALE,WHITE,ADULT,MALE,WHITE,CUF,FAIRVIEW,CUF,
-1413,03/05/1998 05:59:00 PM,9800166,P980640912,DISTRICT 2,9826,INJURY TO PRISONER,23XX OBSERVATORY AV,39.1373741518751,-84.4543643872285,MALE,WHITE,UNKNOWN,MALE,WHITE,HYDE PARK,HYDE PARK,HYDE PARK,
5477,08/22/2010 02:48:00 AM,2010-147235,LCP100822000226,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX MAIN ST,39.1087094314061,-84.5109554794182,MALE,BLACK,ADULT,MALE,BLACK,OVER-THE-RHINE,OVER-THE-RHINE,OTR,
3348,08/03/2007 01:27:00 AM,2007-101864,P072150139,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,11XX MAIN ST,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A,
3345,07/31/2007 01:33:00 PM,2007-101744,P072120841,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,17XX PLEASANT ST,39.1135859773034,-84.5200052416527,MALE,BLACK,ADULT,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR,
-7056,06/19/2003 01:04:00 AM,20030481,P031700084,DISTRICT 2,9825,CHEMICAL IRRITANT,28XX GRIFFITHS AV,39.1411758881696,-84.4418097996478,MALE,WHITE,UNKNOWN,MALE,WHITE,HYDE PARK,HYDE PARK,HYDE PARK,
7899,06/08/2015 01:44:00 PM,2015-202217,LCP150608000672,DISTRICT 1,9826,INJURY TO PRISONER,7XX MAIN ST,39.1051332630499,-84.5096043786781,MALE,BLACK,ADULT,FEMALE,BLACK,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN,
-5149,06/02/2001 06:10:00 PM,20010569,P011530875,DISTRICT 1,9825,CHEMICAL IRRITANT,11XX ST GREGORY ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
9726,01/04/2019 03:11:00 PM,2019-243230,CPD190104000637,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,16XX LONGBOURN ST,,,MALE,WHITE,ADULT,FEMALE,WHITE,N/A,N/A,N/A,
-5795,01/21/2002 08:23:00 PM,20020046,P020211183,DISTRICT 3,9826,INJURY TO PRISONER,13XX MANNS AV,,,FEMALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
2639,09/26/2006 05:00:00 PM,2006-89000,P062691224,DISTRICT 2,8223,WEAPON DISCHARGE AT AN ANIMAL,36XX EVANSTON AV,,,OTHER,UNKNOWN,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
-5207,06/20/2001 10:52:00 PM,20010627,P011711681,DISTRICT 2,9826,INJURY TO PRISONER,30XX LAVINIA AV,39.1345016813187,-84.4597490106415,MALE,BLACK,UNKNOWN,FEMALE,WHITE,EVANSTON,O'BRYONVILLE,HYDE PARK,
1585,09/25/2005 04:13:00 AM,2005-73168,P052680351,DISTRICT 5,9826,INJURY TO PRISONER,39XX WESS PARK DR,39.1592901410542,-84.4999835606042,MALE,BLACK,ADULT,MALE,WHITE,AVONDALE,NORTH AVONDALE,NORTH AVONDALE,
-362,01/01/1997 01:40:00 AM,9700001,P970010150,DISTRICT 4,9825,CHEMICAL IRRITANT,NB I75 AT 9MP,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
1171,05/24/2005 11:51:00 PM,2005-67015,P051441920,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,29XX HACKBERRY ST,39.1311441513431,-84.4747345846279,MALE,BLACK,ADULT,FEMALE,BLACK,EAST WALNUT HILLS,EAST WALNUT HILLS,EAST WALNUT HILLS,
-2892,08/11/1999 05:33:00 AM,9900660,P992230277,DISTRICT 3,9825,CHEMICAL IRRITANT,29XX BOUDINOT,,,MALE,BLACK,UNKNOWN,MALE,ASIAN,N/A,N/A,N/A,
5198,03/23/2010 07:55:00 AM,2010-141936,LCP100323000235,DISTRICT 5,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,101XX TAHITI DR,,,MALE,BLACK,ADULT,FEMALE,BLACK,N/A,N/A,N/A,
-2962,09/01/1999 10:45:00 PM,9900731,P992441460,DISTRICT 1,9825,CHEMICAL IRRITANT,18XX BAYMILLER,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
-2962,09/01/1999 10:45:00 PM,9900731,P992441460,DISTRICT 1,9825,CHEMICAL IRRITANT,18XX BAYMILLER,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
-7356,08/15/2003 05:57:00 AM,20030782,P032270283,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,21XX WERON LN,39.1480565018227,-84.5607389028902,MALE,BLACK,UNKNOWN,MALE,WHITE,MILLVALE,EAST  WESTWOOD,EAST WESTWOOD,
3087,04/13/2007 02:51:00 AM,2007-97046,P071030201,DISTRICT 5,9826,INJURY TO PRISONER,6XX CLIFTON COLONY DR,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A,
8506,05/26/2016 05:24:00 AM,2016-215055,LCP160526000180,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,42XX VIRGINIA AV,39.1678295456596,-84.5491351064282,MALE,BLACK,ADULT,MALE,WHITE,NORTHSIDE,NORTHSIDE,NORTHSIDE,
-2155,12/02/1998 11:39:00 PM,9800916,P983361543,DISTRICT 4,9826,INJURY TO PRISONER,4XX LIBERTY HILL,39.1115753146784,-84.5076871334094,MALE,WHITE,UNKNOWN,FEMALE,BLACK,MT. AUBURN,MOUNT  AUBURN,MOUNT AUBURN,
-7424,11/12/2003 07:34:00 PM,20030851,P033161479,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,17XX WESTWOOD AV,39.125313329786,-84.5534661281518,OTHER,UNKNOWN,UNKNOWN,FEMALE,WHITE,SOUTH FAIRMOUNT,SOUTH  FAIRMOUNT,SOUTH FAIRMOUNT,
2360,06/27/2006 09:39:00 PM,2006-84738,P061781843,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX W LIBERTY ST,39.1137764498918,-84.5273874915016,FEMALE,BLACK,ADULT,FEMALE,WHITE,WEST END,WEST  END,WEST END,
-6774,03/20/2003 06:05:00 PM,20030197,P030791031,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,XX EAST FIFTH ST,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
9872,04/12/2019 05:00:00 PM,2019-245897,CPD 190412001244,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,7XX CHALFONTE PL,39.1499737893322,-84.4882325167683,MALE,BLACK,ADULT,MALE,WHITE,AVONDALE,NORTH AVONDALE,AVONDALE - NORTH AVONDALE,
7301,03/08/2014 09:38:00 PM,2014-189467,LCP140308001532,DISTRICT 5,9826,INJURY TO PRISONER,28XX MASSACHUSETTS AV,39.1332421552937,-84.5338491408356,MALE,BLACK,ADULT,MALE,WHITE,CAMP WASHINGTON,CAMP  WASHINGTON,CAMP WASHINGTON,
445,01/04/2005 05:15:00 PM,2005-60093,P050041157,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,3XX ROCKDALE AV,39.1445282129978,-84.4998023605856,MALE,BLACK,JUVENILE,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE,
-3544,03/13/2000 09:59:00 PM,20000233,P000731435,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,25XX KEMPER,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-3544,03/13/2000 09:59:00 PM,20000233,P000731435,DISTRICT 4,2382,USE OF FORCE INVESTIGATION,25XX KEMPER,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
1322,07/07/2005 04:25:00 PM,2005-69419,P051881312,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,36XX SOLAR VISTA PL,39.185068466676,-84.4113064671737,MALE,BLACK,ADULT,MALE,BLACK,KENNEDY HEIGHTS,KENNEDY  HEIGHTS,KENNEDY HEIGHTS,
5683,01/01/2011 02:27:00 AM,2010-151739,LCP110101000269,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,26XX VINE ST,,,MALE,WHITE,ADULT,MALE,WHITE,N/A,N/A,N/A,
-5530,10/02/2001 03:37:00 AM,20010954,P012750133,DISTRICT 1,9825,CHEMICAL IRRITANT,10XX SYCAMORE ST,39.1074299723178,-84.5086396587137,FEMALE,BLACK,UNKNOWN,MALE,WHITE,DOWNTOWN,C. B. D. / RIVERFRONT,DOWNTOWN,
921,03/16/2005 03:47:00 PM,2005-63329,P050750953,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,14XX RACE ST,39.1116323251023,-84.5171349964428,MALE,BLACK,ADULT,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR,
2715,10/29/2006 09:00:00 AM,2006-90489,P063020469,DISTRICT 3,8223,WEAPON DISCHARGE AT AN ANIMAL,12XX QUEBEC RD,39.1166743476222,-84.5753241034104,OTHER,UNKNOWN,UNKNOWN,MALE,BLACK,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL,
5539,09/18/2010 01:27:00 AM,2010-148705,LCP100918000146,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,11XX ST GREGORY ST,39.1075924439152,-84.4980153295432,MALE,WHITE,ADULT,MALE,BLACK,MT. ADAMS,MOUNT  ADAMS,MOUNT ADAMS,
3708,01/21/2008 01:46:00 PM,2008-108956,LCP080121000706,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,7XX E MITCHELL AV,39.1578618545321,-84.486959375896,MALE,BLACK,ADULT,MALE,TWO OR MORE,NORTH AVONDALE - PADDOCK HILLS,NORTH AVONDALE,NORTH AVONDALE,
-8137,08/25/2004 01:21:00 AM,20040641,P042380115,DISTRICT 2,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,43XX EASTERN AV,39.1111715958296,-84.4239376232118,MALE,WHITE,UNKNOWN,MALE,WHITE,LINWOOD,COLUMBIA / TUSCULUM,EAST END,
7781,03/12/2015 09:53:00 AM,2015-199661,LCP150312000420,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,77XX READING RD,39.2008531095579,-84.456627743968,MALE,BLACK,ADULT,MALE,BLACK,ROSELAWN,ROSELAWN,ROSELAWN,
3867,04/07/2008 09:46:00 PM,2008-112315,LCP080407001850,DISTRICT 1,9826,INJURY TO PRISONER,14XX RACE ST,39.1108055130672,-84.5171737006747,MALE,WHITE,ADULT,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR,
8505,07/05/2016 10:35:00 AM,2016-214987,LCP160705001881,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,28XX QUEEN CITY AV CINTI OH 45238,,,MALE,BLACK,ADULT,MALE,WHITE,N/A,N/A,N/A,
-4270,10/07/2000 02:42:00 AM,20000966,P002810105,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,46XX RAPID RUN,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
3118,04/24/2007 09:52:00 PM,2007-97478,P071141804,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX FAIRBANKS AV,,,FEMALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A,
3118,04/24/2007 09:52:00 PM,2007-97478,P071141804,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,10XX FAIRBANKS AV,,,FEMALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A,
5266,05/06/2010 07:23:00 PM,2010-143408,LCP100506001590,DISTRICT 2,9826,INJURY TO PRISONER,15XX ST LEGER PL,39.1384955270748,-84.4767825291653,MALE,BLACK,ADULT,MALE,WHITE,EVANSTON,EVANSTON,EVANSTON,
8351,03/09/2016 08:00:00 PM,2016-210983,LCP160309001432,DISTRICT 4,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,9XX BLAIR CT,39.1398327714295,-84.4867918089035,MALE,BLACK,ADULT,MALE,WHITE,AVONDALE,AVONDALE,AVONDALE,
-5398,09/03/2001 08:15:00 PM,20010819,P012461205,DISTRICT 5,9825,CHEMICAL IRRITANT,2XX W MCMILLAN ST,39.1286985175537,-84.5202887668466,MALE,WHITE,UNKNOWN,MALE,WHITE,CUF,FAIRVIEW,CUF - HEIGHTS,
-374,01/05/1997 12:45:00 AM,9700013,P970050079,DISTRICT 2,9825,CHEMICAL IRRITANT,49XX MATHIS STREET,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
-2080,10/27/1998 01:50:00 AM,9800841,P98300097,DISTRICT 1,9826,INJURY TO PRISONER,XX ELIFTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-2080,10/27/1998 01:50:00 AM,9800841,P98300097,DISTRICT 1,9826,INJURY TO PRISONER,XX ELIFTON,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-2434,03/07/1999 07:18:00 PM,9900202,P990660793,DISTRICT 3,9825,CHEMICAL IRRITANT,44XX GLENWAY,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
6862,03/27/2013 06:00:00 PM,2013-179834,130327001349,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,XX E 13TH ST,39.110199709721,-84.5153084165625,FEMALE,WHITE,JUVENILE,FEMALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR,
7495,07/04/2014 10:49:00 PM,2014-192679,LCP140704001475,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,5XX WALNUT ST,,,MALE,BLACK,JUVENILE,MALE,WHITE,N/A,N/A,N/A,
5842,04/13/2011 01:37:00 AM,2011-155390,LCP110413000062,DISTRICT 1,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,12XX LINN ST,39.108282743713,-84.5267116005932,MALE,BLACK,ADULT,FEMALE,BLACK,WEST END,WEST  END,WEST END,
-3267,12/10/1999 01:17:00 AM,9901037,P993440023,DISTRICT 3,9825,CHEMICAL IRRITANT,17XX  BLEEKER,,,FEMALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-411,02/05/1997 03:43:00 PM,9700050,,DISTRICT 4,9825,CHEMICAL IRRITANT,25XX VICTORY PARKWAY,,,FEMALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
3526,10/18/2007 06:23:00 PM,2007-104952,P072911344,DISTRICT 5,9826,INJURY TO PRISONER,15XX CEDAR AV,39.1992647107834,-84.5457584195467,MALE,WHITE,ADULT,FEMALE,WHITE,COLLEGE HILL,COLLEGE  HILL,COLLEGE HILL,
-291,11/27/1996 03:15:00 PM,9600446,P963320591,DISTRICT 2,9826,INJURY TO PRISONER,34XX WOODBURN AV,39.1412062055707,-84.4754082081856,MALE,BLACK,UNKNOWN,MALE,BLACK,EVANSTON,EVANSTON,EVANSTON,
4356,11/25/2008 07:47:00 PM,2008-123561,LCP081125001435,DISTRICT 4,9826,INJURY TO PRISONER,30XX GILBERT AV,39.1364246754436,-84.4853025325101,MALE,BLACK,ADULT,MALE,WHITE,WALNUT HILLS,WALNUT HILLS,WALNUT HILLS,
5533,07/25/2010 11:37:00 PM,2010-148512,LCP100725001613,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,37XX W LIBERTY ST,39.1166459478124,-84.57492023148,MALE,WHITE,ADULT,MALE,WHITE,EAST PRICE HILL,WEST PRICE HILL,WEST PRICE HILL,
-2455,03/15/1999 10:35:00 AM,9900223,P990740345,DISTRICT 5,9825,CHEMICAL IRRITANT,41XX HAMILTON,,,FEMALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-2455,03/15/1999 10:35:00 AM,9900223,P990740345,DISTRICT 5,9825,CHEMICAL IRRITANT,41XX HAMILTON,,,FEMALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
2673,10/10/2006 11:47:00 PM,2006-89728,P062832027,DISTRICT 4,9826,INJURY TO PRISONER,40XX PADDOCK RD,39.1585564482499,-84.4802200644674,MALE,BLACK,ADULT,MALE,BLACK,NORTH AVONDALE - PADDOCK HILLS,NORTH AVONDALE,NORTH AVONDALE,
7504,06/15/2014 09:21:00 PM,2014-193000,LCP140615001438,DISTRICT 3,9823,NONCOMPLIANT SUSPECT/ARRESTEE,5XX ELBERON AV,39.1017747252157,-84.565827091976,MALE,WHITE,ADULT,MALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL,
-4492,11/15/2000 09:42:00 AM,20001190,P003200373,DISTRICT 5,9825,CHEMICAL IRRITANT,44XX CLERAIN AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
-4334,10/19/2000 04:55:00 PM,20001030,P002931089,DISTRICT 3,2382,USE OF FORCE INVESTIGATION,20XX SUTTER AV,,,MALE,BLACK,UNKNOWN,FEMALE,WHITE,N/A,N/A,N/A,
-1730,07/01/1998 10:58:00 PM,9800490,P981821395,DISTRICT 5,9826,INJURY TO PRISONER,1XX W MCMILLAN AV,,,MALE,WHITE,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
436,06/03/2003 04:04:00 PM,2005-60072,P031541082,DISTRICT 1,9823,NONCOMPLIANT SUSPECT/ARRESTEE,21XX CENTRAL PKWY,,,MALE,WHITE,ADULT,MALE,BLACK,N/A,N/A,N/A,
1904,01/13/2006 04:52:00 PM,2006-77653,P060131205,DISTRICT 1,9826,INJURY TO PRISONER,6XX CENTRAL AV # 202,,,MALE,BLACK,ADULT,FEMALE,BLACK,N/A,N/A,N/A,
-6713,03/09/2003 09:31:00 PM,20030136,P030681324,DISTRICT 3,9825,CHEMICAL IRRITANT,19XX SUTTER AV,,,MALE,BLACK,UNKNOWN,MALE,WHITE,N/A,N/A,N/A,
9537,08/27/2018 03:38:00 PM,2018-239484,CPD180827000934,DISTRICT 3,9824,TASER-BEANBAG-PEPPERBALL-40MM FOAM,39XX N CLEROSE CIR,39.1042221455314,-84.5826035452958,MALE,BLACK,ADULT,MALE,WHITE,WEST PRICE HILL,WEST PRICE HILL,WEST PRICE HILL,
2411,07/12/2006 11:41:00 AM,2006-85448,P061930612,DISTRICT 3,8223,WEAPON DISCHARGE AT AN ANIMAL,5XX PURCELL AV,39.1002591475949,-84.5641631405346,OTHER,UNKNOWN,UNKNOWN,FEMALE,WHITE,EAST PRICE HILL,EAST PRICE HILL,EAST PRICE HILL,
7293,03/01/2014 01:50:00 AM,2014-189227,LCP140301000121,DISTRICT 1,2382,USE OF FORCE INVESTIGATION,12XX MAIN ST CINCINNATI OHIO 45202,,,MALE,BLACK,ADULT,MALE,BLACK,N/A,N/A,N/A,
-3836,06/16/2000 02:25:00 AM,20000529,P001680186,DISTRICT 4,9826,INJURY TO PRISONER,17XX SEYMOUR AV,39.1916776856468,-84.4648154324217,MALE,BLACK,UNKNOWN,MALE,BLACK,ROSELAWN,ROSELAWN,ROSELAWN,
5307,05/17/2010 12:15:00 PM,2010-144069,LCP100517000608,DISTRICT 5,9823,NONCOMPLIANT SUSPECT/ARRESTEE,4XX KINGS RUN DR,39.1760536988831,-84.5086762877938,MALE,BLACK,ADULT,MALE,BLACK,WINTON HILLS,WINTON HILLS,WINTON HILLS,
-1566,05/03/1998 08:29:00 PM,9800322,P981231028,DISTRICT 1,9825,CHEMICAL IRRITANT,5XX DERRICK TURNBOW,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
-1566,05/03/1998 08:29:00 PM,9800322,P981231028,DISTRICT 1,9825,CHEMICAL IRRITANT,5XX DERRICK TURNBOW,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
-614,03/22/1997 02:03:00 AM,9700258,P970810179,DISTRICT 5,9826,INJURY TO PRISONER,47XX ESTE AV,39.1758420558769,-84.5078616887635,MALE,BLACK,UNKNOWN,MALE,WHITE,WINTON HILLS,WINTON HILLS,WINTON HILLS,
-5846,02/12/2002 01:09:00 AM,20020097,P020430057,DISTRICT 1,9826,INJURY TO PRISONER,14XX RACE ST,39.1107748338112,-84.5162214232957,MALE,BLACK,UNKNOWN,MALE,WHITE,OVER-THE-RHINE,OVER-THE-RHINE,OTR,
-36,07/28/1996 03:48:00 PM,9600189,P962100605,DISTRICT 4,9826,INJURY TO PRISONER,TAFT/ VICTORY PKWAY,,,MALE,BLACK,UNKNOWN,MALE,BLACK,N/A,N/A,N/A,
